<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20251216,11:13:00,57.65,57.67,57.61,57.64,41280
20251216,11:14:00,57.64,57.66,57.64,57.66,7530
20251216,11:15:00,57.65,57.72,57.65,57.65,61590
20251216,11:16:00,57.66,57.66,57.65,57.65,3780
20251216,11:17:00,57.65,57.66,57.61,57.61,18820
20251216,11:18:00,57.61,57.62,57.59,57.59,9140
20251216,11:19:00,57.6,57.62,57.6,57.61,8340
20251216,11:20:00,57.62,57.64,57.62,57.64,6910
20251216,11:21:00,57.63,57.64,57.62,57.62,6070
20251216,11:22:00,57.62,57.63,57.62,57.62,5140
20251216,11:23:00,57.62,57.63,57.58,57.58,34720
20251216,11:24:00,57.6,57.63,57.57,57.61,32780
20251216,11:25:00,57.63,57.63,57.6,57.63,22630
20251216,11:26:00,57.63,57.63,57.59,57.62,16230
20251216,11:27:00,57.61,57.62,57.59,57.59,17000
20251216,11:28:00,57.6,57.6,57.59,57.59,2190
20251216,11:29:00,57.6,57.6,57.59,57.6,570
20251216,11:30:00,57.6,57.6,57.59,57.6,5300
20251216,11:31:00,57.59,57.61,57.59,57.6,8770
20251216,11:32:00,57.61,57.61,57.59,57.6,3460
20251216,11:33:00,57.6,57.63,57.6,57.61,19990
20251216,11:34:00,57.62,57.62,57.6,57.6,7290
20251216,11:35:00,57.6,57.61,57.6,57.61,19710
20251216,11:36:00,57.62,57.62,57.61,57.62,10140
20251216,11:37:00,57.61,57.62,57.61,57.61,13890
20251216,11:38:00,57.6,57.6,57.59,57.59,4100
20251216,11:39:00,57.6,57.6,57.6,57.6,530
20251216,11:40:00,57.6,57.61,57.59,57.59,25050
20251216,11:41:00,57.6,57.6,57.58,57.59,23230
20251216,11:42:00,57.59,57.61,57.59,57.6,80680
20251216,11:43:00,57.6,57.61,57.58,57.6,12640
20251216,11:44:00,57.58,57.59,57.57,57.59,4650
20251216,11:45:00,57.58,57.58,57.53,57.55,39010
20251216,11:46:00,57.54,57.57,57.54,57.57,7090
20251216,11:47:00,57.56,57.57,57.52,57.53,43820
20251216,11:48:00,57.54,57.57,57.53,57.56,15240
20251216,11:49:00,57.54,57.55,57.53,57.53,11940
20251216,11:50:00,57.53,57.57,57.52,57.57,22440
20251216,11:51:00,57.57,57.61,57.56,57.61,30900
20251216,11:52:00,57.61,57.63,57.6,57.62,126830
20251216,11:53:00,57.64,57.65,57.61,57.65,23370
20251216,11:54:00,57.65,57.65,57.64,57.64,22360
20251216,11:55:00,57.63,57.65,57.63,57.65,26870
20251216,11:56:00,57.64,57.65,57.62,57.62,7030
20251216,11:57:00,57.63,57.64,57.61,57.64,15630
20251216,11:58:00,57.63,57.65,57.63,57.65,13140
20251216,11:59:00,57.63,57.65,57.63,57.65,46990
20251216,12:00:00,57.64,57.67,57.61,57.61,37350
20251216,12:01:00,57.61,57.66,57.6,57.62,11140
20251216,12:02:00,57.61,57.65,57.61,57.65,12700
20251216,12:03:00,57.62,57.67,57.62,57.67,13910
20251216,12:04:00,57.66,57.66,57.56,57.56,28930
20251216,12:05:00,57.6,57.63,57.58,57.6,22910
20251216,12:06:00,57.61,57.65,57.6,57.65,15030
20251216,12:07:00,57.62,57.65,57.62,57.63,19880
20251216,12:08:00,57.62,57.63,57.62,57.63,10350
20251216,12:09:00,57.63,57.63,57.6,57.61,75370
20251216,12:10:00,57.59,57.65,57.59,57.62,55150
20251216,12:11:00,57.63,57.65,57.61,57.62,5840
20251216,12:12:00,57.62,57.62,57.59,57.59,31440
20251216,12:13:00,57.58,57.58,57.52,57.52,60240
20251216,12:14:00,57.56,57.61,57.55,57.55,23970
20251216,12:15:00,57.56,57.62,57.56,57.6,10070
20251216,12:16:00,57.61,57.65,57.61,57.64,6530
20251216,12:17:00,57.64,57.66,57.62,57.62,22220
20251216,12:18:00,57.62,57.66,57.61,57.63,12890
20251216,12:19:00,57.65,57.67,57.63,57.67,14340
20251216,12:20:00,57.67,57.67,57.66,57.66,13710
20251216,12:21:00,57.66,57.66,57.64,57.64,11950
20251216,12:22:00,57.64,57.65,57.64,57.65,16320
20251216,12:23:00,57.64,57.65,57.64,57.64,13200
20251216,12:24:00,57.65,57.65,57.64,57.65,26000
20251216,12:25:00,57.65,57.75,57.65,57.73,344070
20251216,12:26:00,57.73,57.75,57.68,57.73,50190
20251216,12:27:00,57.74,57.74,57.73,57.74,2660
20251216,12:28:00,57.73,57.74,57.68,57.7,7730
20251216,12:29:00,57.68,57.7,57.68,57.69,11300
20251216,12:30:00,57.68,57.68,57.66,57.66,2260
20251216,12:31:00,57.66,57.73,57.66,57.73,18870
20251216,12:32:00,57.72,57.73,57.67,57.68,7740
20251216,12:33:00,57.66,57.66,57.63,57.66,48540
20251216,12:34:00,57.66,57.71,57.66,57.66,38740
20251216,12:35:00,57.66,57.68,57.65,57.66,22650
20251216,12:36:00,57.65,57.65,57.64,57.64,14400
20251216,12:37:00,57.63,57.64,57.55,57.63,126790
20251216,12:38:00,57.6,57.6,57.57,57.57,2990
20251216,12:39:00,57.58,57.58,57.57,57.57,2140
20251216,12:40:00,57.58,57.63,57.57,57.61,106560
20251216,12:41:00,57.61,57.61,57.59,57.6,350
20251216,12:42:00,57.59,57.59,57.57,57.57,18770
20251216,12:43:00,57.57,57.58,57.57,57.58,2540
20251216,12:44:00,57.57,57.58,57.57,57.58,7220
20251216,12:45:00,57.57,57.58,57.57,57.57,30010
20251216,12:46:00,57.57,57.59,57.55,57.59,30230
20251216,12:47:00,57.59,57.59,57.57,57.59,4870
20251216,12:48:00,57.59,57.59,57.58,57.59,1010
20251216,12:49:00,57.59,57.65,57.59,57.65,34070
